sample_id,regime,tau_norm,s1,s2,s3,s4,s5,k_star,norm_at_kstar
0,threshold,5.0,-273.09100341796875,15.650737762451172,10902.6748046875,56.65526580810547,5.5947723388671875,248,5.5947723388671875
1,threshold,5.0,-249.32827758789062,12.470091819763184,11769.6064453125,59.988773345947266,4.981461048126221,228,4.994014739990234
2,threshold,5.0,-297.79296875,16.623409271240234,13368.4638671875,58.0624885559082,5.766005516052246,248,5.766005516052246
3,threshold,5.0,-355.06109619140625,15.737372398376465,19467.46484375,62.3652458190918,5.610235691070557,248,5.610235691070557
4,threshold,5.0,-249.69534301757812,13.73318862915039,11476.7001953125,54.71184158325195,5.240837574005127,248,5.240837574005127
5,threshold,5.0,-233.7854766845703,12.488710403442383,8951.154296875,57.2651481628418,4.978829383850098,232,4.99774169921875
6,threshold,5.0,-306.75872802734375,15.852911949157715,13652.921875,60.497474670410156,5.630792140960693,248,5.630792140960693
7,threshold,5.0,-222.44192504882812,12.447598457336426,10447.6162109375,55.69071960449219,4.966330528259277,194,4.989508628845215
8,threshold,5.0,-417.27825927734375,15.725174903869629,26493.6328125,51.86391830444336,5.60806131362915,248,5.60806131362915
9,threshold,5.0,-309.7458190917969,15.647475242614746,13008.078125,60.54627990722656,5.594189167022705,248,5.594189167022705
10,threshold,5.0,-217.15078735351562,12.480716705322266,12300.9892578125,53.14320373535156,4.977545261383057,214,4.9961419105529785
11,threshold,5.0,-275.2487487792969,15.028827667236328,10481.51953125,58.20634078979492,5.482486248016357,248,5.482486248016357
12,threshold,5.0,-238.89816284179688,12.46479320526123,12172.365234375,57.762916564941406,4.975210189819336,191,4.992953777313232
13,threshold,5.0,-376.8291015625,15.4952974319458,21776.82421875,66.92145538330078,5.566919803619385,248,5.566919803619385
14,threshold,5.0,-375.9873046875,18.356698989868164,15012.232421875,65.16678619384766,6.0591583251953125,248,6.0591583251953125
15,threshold,5.0,-281.2650451660156,14.15957260131836,12245.4453125,62.628849029541016,5.321573734283447,248,5.321573734283447
16,threshold,5.0,-320.57696533203125,18.604867935180664,10611.306640625,57.12904739379883,6.099978446960449,248,6.099978446960449
17,threshold,5.0,-237.37533569335938,12.44420051574707,15915.0048828125,51.23088455200195,4.9686808586120605,210,4.988827228546143
18,threshold,5.0,-210.01417541503906,12.435606956481934,11117.8505859375,52.279788970947266,4.957556247711182,189,4.987104892730713
19,threshold,5.0,-345.07952880859375,19.76289176940918,11545.0263671875,63.44101333618164,6.286953449249268,248,6.286953449249268
20,threshold,5.0,-424.76483154296875,21.93350601196289,18383.373046875,63.13718795776367,6.623217582702637,248,6.623217582702637
21,threshold,5.0,-244.1796417236328,14.001909255981445,9760.9765625,54.90003967285156,5.291863441467285,248,5.291863441467285
22,threshold,5.0,-251.05020141601562,12.499661445617676,11362.37109375,59.844905853271484,4.98122501373291,221,4.999932289123535
23,threshold,5.0,-319.0268249511719,15.687309265136719,13532.37890625,64.17118835449219,5.60130500793457,248,5.60130500793457
24,threshold,5.0,-311.8123779296875,17.141027450561523,13528.7080078125,61.97528076171875,5.855087757110596,248,5.855087757110596
25,threshold,5.0,-195.50901794433594,12.440689086914062,11447.7646484375,50.804779052734375,4.961386203765869,182,4.988123893737793
26,threshold,5.0,-233.78416442871094,12.450738906860352,10500.205078125,56.89856719970703,4.990138053894043,248,4.990138053894043
27,threshold,5.0,-295.0794677734375,14.30114459991455,14497.26953125,56.85309982299805,5.348111152648926,248,5.348111152648926
28,threshold,5.0,-354.1803283691406,17.108089447021484,16238.2451171875,55.52480697631836,5.849459648132324,248,5.849459648132324
29,threshold,5.0,-332.734375,15.349522590637207,17056.509765625,63.22437286376953,5.540672302246094,248,5.540672302246094
30,threshold,5.0,-263.563232421875,12.454251289367676,12573.4326171875,62.707305908203125,4.983191967010498,237,4.990841865539551
31,threshold,5.0,-248.21844482421875,12.499031066894531,13744.7587890625,58.80384063720703,4.986313343048096,231,4.9998064041137695
32,threshold,5.0,-206.24853515625,12.379657745361328,8972.765625,53.01057815551758,4.95161247253418,220,4.9758734703063965
33,threshold,5.0,-297.8343200683594,16.40994644165039,12605.671875,55.76551818847656,5.728864669799805,248,5.728864669799805
34,threshold,5.0,-230.46434020996094,12.494852066040039,11658.7021484375,53.10224914550781,4.989651679992676,241,4.9989705085754395
35,threshold,5.0,-317.7560729980469,17.629995346069336,13557.4501953125,55.82655334472656,5.93801212310791,248,5.93801212310791
36,threshold,5.0,-284.6245422363281,13.564613342285156,11960.4677734375,63.22127914428711,5.2085723876953125,248,5.2085723876953125
37,threshold,5.0,-228.21725463867188,12.445241928100586,13782.6279296875,53.029876708984375,4.958008289337158,152,4.989036560058594
38,threshold,5.0,-233.8826904296875,12.47330093383789,13568.6650390625,53.017208099365234,4.982072830200195,244,4.994657516479492
39,threshold,5.0,-239.00576782226562,12.457544326782227,9224.9677734375,57.773468017578125,4.975605487823486,203,4.991501808166504
40,threshold,5.0,-273.0672302246094,15.007076263427734,13094.9794921875,57.003787994384766,5.478517532348633,248,5.478517532348633
41,threshold,5.0,-227.9989013671875,12.449831008911133,10816.796875,56.36734390258789,4.973512649536133,216,4.989955902099609
42,threshold,5.0,-276.7196960449219,12.497919082641602,15505.3486328125,61.58721923828125,4.984414577484131,202,4.999583721160889
43,threshold,5.0,-227.1092529296875,12.440797805786133,9931.0615234375,54.59469985961914,4.974946022033691,222,4.988145351409912
44,threshold,5.0,-319.74127197265625,14.010181427001953,18920.173828125,60.35688781738281,5.293426513671875,248,5.293426513671875
45,threshold,5.0,-246.006103515625,12.480246543884277,13001.2197265625,57.735069274902344,4.965497016906738,203,4.9960479736328125
46,threshold,5.0,-261.19427490234375,14.297025680541992,11462.052734375,55.436519622802734,5.3473405838012695,248,5.3473405838012695
47,threshold,5.0,-293.8861999511719,18.135391235351562,11844.6455078125,52.896915435791016,6.022522926330566,248,6.022522926330566
48,threshold,5.0,-282.68048095703125,12.49246883392334,16622.826171875,61.68446731567383,4.992717742919922,239,4.998493194580078
49,threshold,5.0,-217.38543701171875,12.455537796020508,9703.2802734375,53.63325500488281,4.967895984649658,228,4.991099834442139
50,threshold,5.0,-318.540771484375,16.207698822021484,16279.0185546875,61.16105651855469,5.69345235824585,248,5.69345235824585
51,threshold,5.0,-345.677490234375,15.94546890258789,20033.791015625,51.94314956665039,5.6472063064575195,248,5.6472063064575195
52,threshold,5.0,-300.4139709472656,13.68736457824707,14374.8525390625,61.65869140625,5.232086658477783,248,5.232086658477783
53,threshold,5.0,-236.58596801757812,12.453335762023926,13147.1279296875,55.95568084716797,4.977189064025879,228,4.990658283233643
54,threshold,5.0,-392.33642578125,19.414718627929688,19200.87109375,57.56621551513672,6.231327056884766,248,6.231327056884766
55,threshold,5.0,-264.9587097167969,14.357263565063477,12214.4013671875,56.099578857421875,5.358593940734863,248,5.358593940734863
56,threshold,5.0,-212.49087524414062,12.425394058227539,12869.5625,50.56781005859375,4.968663215637207,237,4.985056400299072
57,threshold,5.0,-237.45872497558594,12.465911865234375,9687.9228515625,58.880104064941406,4.978034973144531,233,4.993177890777588
58,threshold,5.0,-254.49844360351562,12.480644226074219,11225.2646484375,59.251434326171875,4.968209266662598,219,4.996127128601074
59,threshold,5.0,-287.320068359375,17.597179412841797,11254.1474609375,55.51824188232422,5.932483196258545,248,5.932483196258545
60,threshold,5.0,-325.9331359863281,16.360748291015625,13639.5888671875,64.88654327392578,5.72027063369751,248,5.72027063369751
61,threshold,5.0,-453.625,22.14044952392578,22529.642578125,62.9704704284668,6.654389381408691,248,6.654389381408691
