policy,lever_accuracy,mean_regret,max_regret,w_calls,invalid_json_rate,n
H_only,0.3333333333333333,0.37142277777777777,0.911585,0,0.0,9
W_only,0.3333333333333333,0.44307,1.021503,9,0.0,9
alternating,0.4444444444444444,0.29731799999999997,0.8322449999999999,4,0.0,9
plateau_then_w,0.6666666666666666,0.0,0.0,6,0.0,9
oracle_sandwich_rule,1.0,0.0,0.0,6,0.0,9
base_gpt_oss,0.6666666666666666,0.23003444444444446,1.021503,7,0.1111111111111111,9
gpt_oss_lora,0.8888888888888888,0.046684111111111114,0.420157,5,0.0,9
oracle_best,1.0,0.0,0.0,6,0.0,9
