feature_set,dim,oof_auroc,within_norm_auroc,n_usable_bins
norm_only,1,0.5739,0.5785,5
endpoint_only,3,0.5790,0.5712,5
scalar_only,13,0.6723,0.6676,5
FULL,61,0.7012,0.6999,5
