run_id,checkpoint_type,checkpoint_path,checkpoint_sha,model_arch,dataset,resolution,sampler,nfe,step_mult,base_step_size,step_size,nag_mu,num_samples,batch_size,seed_schedule_id,label_schedule_id,init_noise_schedule_id,ema_enabled,cfg_scale,vae_id,reference_stats_path,fid,fid_ci_low,fid_ci_high,kid_mean,kid_std,kid_ci_low,kid_ci_high,sfid,inception_score_mean,inception_score_std,wall_clock_sec,images_per_sec,nfe_field,nfe_raw_forward,nan_count,divergence_count,clip_fraction,mean_init_latent_norm,mean_final_latent_norm,std_final_latent_norm,mean_first_grad_norm,mean_final_grad_norm,feature_path,sample_path,num_gpus,precision,git_commit,timestamp,notes
anm_l03_gd_nfe250_step1.0,anm_l03,/n/home03/mkrasnow/research-repo/projects/diff-EqM/results/imagenet1k_80ep_v10_b2_lambda03_seed0/000-EqM-B-2-Linear-velocity-None-dganm/checkpoints/final.pt,818bba0cdfd70108,EqM-B/2,imagenet1k,256,gd,250,1.0,0.003,0.003,,5000,64,seed123_n5056,balanced_c1000_seed123_n5056,randn_seed123_n5056,True,1.0,sd-vae-ft-ema,/tmp/eqm-c1-ext-18952135/c1_out/eval_inputs/ref_stats.npz,41.25495730265851,46.54855318336526,48.32478520015865,0.02860883919663257,0.0017488756183323812,0.025307281301637386,0.032519449702685076,,,,2393.6,2.112,249,249,0,0,0.0246151117332877,64.003990929338,54.4203020387058,7.514422026960746,261.9663669700864,6.114985157087257,/tmp/eqm-c1-ext-18952135/c1_out/features/anm_l03_gd_nfe250_step1.0_inception.npz,/tmp/eqm-c1-ext-18952135/c1_out/samples/anm_l03/gd/nfe_250/step_1.0,1,tf32,6889f87,2026-06-04T04:35:46Z,
anm_l03_gd_nfe500_step1.0,anm_l03,/n/home03/mkrasnow/research-repo/projects/diff-EqM/results/imagenet1k_80ep_v10_b2_lambda03_seed0/000-EqM-B-2-Linear-velocity-None-dganm/checkpoints/final.pt,818bba0cdfd70108,EqM-B/2,imagenet1k,256,gd,500,1.0,0.003,0.003,,5000,64,seed123_n5056,balanced_c1000_seed123_n5056,randn_seed123_n5056,True,1.0,sd-vae-ft-ema,/tmp/eqm-c1-ext-18952135/c1_out/eval_inputs/ref_stats.npz,41.73414897419781,47.045105544391426,48.79085700956784,0.028223212134768017,0.0016859797719626808,0.02499353523851062,0.031669598876974646,,,,4414.6,1.145,499,499,0,0,0.036669385081102075,64.003990929338,58.146771112574804,8.117586355648418,261.9663669700864,5.195180614679297,/tmp/eqm-c1-ext-18952135/c1_out/features/anm_l03_gd_nfe500_step1.0_inception.npz,/tmp/eqm-c1-ext-18952135/c1_out/samples/anm_l03/gd/nfe_500/step_1.0,1,tf32,6889f87,2026-06-04T05:55:05Z,
anm_l03_gd_nfe1000_step1.0,anm_l03,/n/home03/mkrasnow/research-repo/projects/diff-EqM/results/imagenet1k_80ep_v10_b2_lambda03_seed0/000-EqM-B-2-Linear-velocity-None-dganm/checkpoints/final.pt,818bba0cdfd70108,EqM-B/2,imagenet1k,256,gd,1000,1.0,0.003,0.003,,5000,64,seed123_n5056,balanced_c1000_seed123_n5056,randn_seed123_n5056,True,1.0,sd-vae-ft-ema,/tmp/eqm-c1-ext-18952135/c1_out/eval_inputs/ref_stats.npz,45.27355092315747,50.52856443188542,52.27167174454726,0.030397783047205126,0.001661243781627175,0.027237058299750806,0.03370942685192383,,,,8556.4,0.591,999,999,0,0,0.06205829085177007,64.003990929338,64.72991315548933,9.685992756869755,261.9663669700864,5.3221307021058815,/tmp/eqm-c1-ext-18952135/c1_out/features/anm_l03_gd_nfe1000_step1.0_inception.npz,/tmp/eqm-c1-ext-18952135/c1_out/samples/anm_l03/gd/nfe_1000/step_1.0,1,tf32,6889f87,2026-06-04T08:23:27Z,
anm_l03_ngd_nfe250_step1.0,anm_l03,/n/home03/mkrasnow/research-repo/projects/diff-EqM/results/imagenet1k_80ep_v10_b2_lambda03_seed0/000-EqM-B-2-Linear-velocity-None-dganm/checkpoints/final.pt,818bba0cdfd70108,EqM-B/2,imagenet1k,256,ngd,250,1.0,0.003,0.003,0.3,5000,64,seed123_n5056,balanced_c1000_seed123_n5056,randn_seed123_n5056,True,1.0,sd-vae-ft-ema,/tmp/eqm-c1-ext-18952135/c1_out/eval_inputs/ref_stats.npz,41.11115273772123,46.44387354286854,48.10733231104198,0.028278497921665733,0.001763352999544337,0.025156114273809916,0.032263258230049184,,,,2317.4,2.182,249,249,0,0,0.027900303466410578,64.003990929338,55.15116830113568,7.705364103681105,261.9663669700864,6.146379324501451,/tmp/eqm-c1-ext-18952135/c1_out/features/anm_l03_ngd_nfe250_step1.0_inception.npz,/tmp/eqm-c1-ext-18952135/c1_out/samples/anm_l03/ngd/nfe_250/step_1.0,1,tf32,6889f87,2026-06-04T09:07:49Z,
anm_l03_ngd_nfe500_step1.0,anm_l03,/n/home03/mkrasnow/research-repo/projects/diff-EqM/results/imagenet1k_80ep_v10_b2_lambda03_seed0/000-EqM-B-2-Linear-velocity-None-dganm/checkpoints/final.pt,818bba0cdfd70108,EqM-B/2,imagenet1k,256,ngd,500,1.0,0.003,0.003,0.3,5000,64,seed123_n5056,balanced_c1000_seed123_n5056,randn_seed123_n5056,True,1.0,sd-vae-ft-ema,/tmp/eqm-c1-ext-18952135/c1_out/eval_inputs/ref_stats.npz,41.56972620750952,46.876605401056075,48.48941026852878,0.027844428013050097,0.0017092735814370663,0.024966243690206336,0.0314792936314787,,,,4402.2,1.149,499,499,0,0,0.041338282798412986,64.003990929338,58.90720947105673,8.32252082318105,261.9663669700864,5.253398376646675,/tmp/eqm-c1-ext-18952135/c1_out/features/anm_l03_ngd_nfe500_step1.0_inception.npz,/tmp/eqm-c1-ext-18952135/c1_out/samples/anm_l03/ngd/nfe_500/step_1.0,1,tf32,6889f87,2026-06-04T10:26:56Z,
anm_l03_ngd_nfe1000_step1.0,anm_l03,/n/home03/mkrasnow/research-repo/projects/diff-EqM/results/imagenet1k_80ep_v10_b2_lambda03_seed0/000-EqM-B-2-Linear-velocity-None-dganm/checkpoints/final.pt,818bba0cdfd70108,EqM-B/2,imagenet1k,256,ngd,1000,1.0,0.003,0.003,0.3,5000,64,seed123_n5056,balanced_c1000_seed123_n5056,randn_seed123_n5056,True,1.0,sd-vae-ft-ema,/tmp/eqm-c1-ext-18952135/c1_out/eval_inputs/ref_stats.npz,45.10028608233222,50.41181363267064,52.169727173780984,0.030055112093396858,0.0016674957569383926,0.026972662024395633,0.03345224795555152,,,,8571.9,0.59,999,999,0,0,0.0687180611654676,64.003990929338,65.56666989718812,9.94017298121831,261.9663669700864,5.398415639383506,/tmp/eqm-c1-ext-18952135/c1_out/features/anm_l03_ngd_nfe1000_step1.0_inception.npz,/tmp/eqm-c1-ext-18952135/c1_out/samples/anm_l03/ngd/nfe_1000/step_1.0,1,tf32,6889f87,2026-06-04T12:55:33Z,
