method,raw_auroc,within_norm_auroc,n_good,n_garbage,bins_used,verdict
random,0.5000,0.5000,750,750,,KILL
||f|| only (norm),0.5480,0.5385,750,750,5,KILL
"s1: -<f,x>  (dot energy)",0.5053,0.6086,750,750,5,WEAK
"s3: sum<f,dx>  (path integral)",0.5678,0.6046,750,750,5,WEAK
"s2: 0.5||f||^2  (l2 energy, norm-coupled)",0.5480,0.5385,750,750,5,KILL
"s5: post-step ||f||  (residual, norm-coupled)",0.5480,0.5385,750,750,5,KILL
latent-NN s4 (no f; sanity),0.5918,0.6267,750,750,5,WEAK
learned trajectory probe (PROBE_VERDICT.txt),nan,0.8190,750,750,3,GREEN
