run	model	epochs	lr	bs	mining	gamma	proxy_metric	fid	num_fid_samples	job_id	status	timestamp
pilot_dganm	DG-ANM	1	5e-5	256	true	2.0	0.007221	456.0609	10000	2970679	completed	2026-04-01T08:07:09Z
pilot_vanilla	Vanilla EqM	1	5e-5	256	false	0.0	0.045237	446.6923	10000	2974180	completed	2026-04-01T08:45:00Z
full_vanilla_wronglr	Vanilla EqM	80	5e-5	256	false	0.0	9.027515	506.4452	50000	2973755	completed	2026-04-01T10:30:00Z
full_dganm	DG-ANM	80	5e-5	256	true	2.0	null	null	50000	2973607	running	2026-04-01T07:35:00Z
full_vanilla_paperparams	Vanilla EqM	80	1e-4	256	false	0.0	null	null	50000	2991223	submitted	2026-04-01T11:00:00Z
